ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title,,,,,,,,,,,,
ILMN_1678477,0.0013586,2.11E-06,5.07648425,4.6511,1.72E-01,38327628,C9orf85,chromosome,9,open,reading,frame,85,,,,,,,
ILMN_1733221,0.0013586,2.00E-06,-5.08973426,4.64754,-3.77E-01,NA,,,,,,,,,,,,,,
ILMN_1715693,0.0013586,2.04E-06,5.08516313,4.64584,2.60E-01,NA,,,,,,,,,,,,,,
ILMN_1670948,0.0013586,1.96E-06,5.09440438,4.64106,2.69E-01,24308387,TSR2,"TSR2,",ribosome,maturation,factor,,,,,,,,,
ILMN_1688101,0.0013586,2.02E-06,5.08782571,4.63418,1.47E-01,NA,,,,,,,,,,,,,,
ILMN_1806294,0.0014807,2.43E-06,5.04153517,4.57448,2.06E-01,56243494,RPS6KA3,ribosomal,protein,S6,kinase,A3,,,,,,,,
ILMN_1776000,0.0014807,2.46E-06,5.03919696,4.57014,2.88E-01,339409213,EID3,EP300,interacting,inhibitor,of,differentiation,3,,,,,,,
ILMN_1717357,0.0014807,2.49E-06,5.03621643,4.55292,2.12E-01,296923790,AIFM1,apoptosis,inducing,"factor,",mitochondria,associated,1,,,,,,,
ILMN_1692199,0.0013586,2.17E-06,-5.06988068,4.52476,-2.87E-01,312147320,RNF103,ring,finger,protein,103,,,,,,,,,
ILMN_1718023,0.0013586,2.12E-06,5.07583961,4.50973,2.58E-01,23510450,APEH,acylaminoacyl-peptide,hydrolase,,,,,,,,,,,
ILMN_1879239,0.0013586,2.16E-06,-5.0711556,4.48263,-1.15E-01,19550372,GM140,uncharacterized,LOC100287948,,,,,,,,,,,
ILMN_1905581,0.0013586,2.17E-06,-5.06971468,4.4704,-1.20E-01,2046526,,,,,,,,,,,,,,
ILMN_1770085,0.0014109,2.28E-06,-5.05729258,4.45611,-3.77E-01,28872718,BTG2,BTG,anti-proliferation,factor,2,,,,,,,,,
ILMN_1738173,0.0015514,2.83E-06,-5.00445133,4.40881,-2.21E-01,817472023,METTL4,methyltransferase,like,4,,,,,,,,,,
ILMN_1757781,0.0015207,2.62E-06,5.02369717,4.40701,2.96E-01,208610033,SAP30L,SAP30,like,,,,,,,,,,,
ILMN_2217212,0.0015514,2.75E-06,-5.01165141,4.39742,-3.34E-01,224548998,ZNF564,zinc,finger,protein,564,,,,,,,,,
ILMN_1734736,0.0014856,2.53E-06,5.03241085,4.37557,1.47E-01,539846936,VPS16,"VPS16,",CORVET/HOPS,core,subunit,,,,,,,,,
ILMN_1660199,0.0015514,2.71E-06,5.01509649,4.36473,2.93E-01,167614484,ACAA2,acetyl-CoA,acyltransferase,2,,,,,,,,,,
ILMN_1915958,0.0015514,2.77E-06,-5.00981859,4.32986,-1.31E-01,NA,,,,,,,,,,,,,,
ILMN_1778187,0.0017165,3.27E-06,4.96849369,4.30303,2.27E-01,429535837,TARS2,threonyl-tRNA,synthetase,"2,",mitochondrial,(putative),,,,,,,,
ILMN_1697665,0.0017303,3.36E-06,4.96194062,4.28309,2.40E-01,NA,,,,,,,,,,,,,,
ILMN_1900595,0.0015514,2.80E-06,-5.00705638,4.25762,-1.31E-01,5233252,,,,,,,,,,,,,,
ILMN_1874302,0.0015782,2.91E-06,4.99746238,4.24045,1.35E-01,9970433,,,,,,,,,,,,,,
ILMN_2400512,0.0017442,3.46E-06,4.95456735,4.20717,1.88E-01,574279850,PRKCSH,protein,kinase,C,substrate,80K-H,,,,,,,,
ILMN_1892791,0.0016147,3.01E-06,-4.98904892,4.13847,-1.35E-01,27844536,,,,,,,,,,,,,,
ILMN_1655206,0.0018144,3.72E-06,-4.93681494,4.13371,-2.97E-01,149944639,ZBTB34,zinc,finger,and,BTB,domain,containing,34,,,,,,
ILMN_2401878,0.0018796,4.00E-06,4.91816283,4.11687,2.28E-01,NA,,,,,,,,,,,,,,
ILMN_1724490,0.0018267,3.82E-06,4.93004573,4.11284,2.89E-01,343403823,PSPC1,paraspeckle,component,1,,,,,,,,,,
ILMN_1687074,0.0017442,3.47E-06,4.95405445,4.10671,1.83E-01,116008453,CDC14B,cell,division,cycle,14B,,,,,,,,,
ILMN_1716601,0.0018848,4.07E-06,4.91400878,4.09791,2.35E-01,NA,,,,,,,,,,,,,,
ILMN_2333865,0.0018848,4.11E-06,4.91168143,4.09007,1.84E-01,194306641,DNAJB12,DnaJ,heat,shock,protein,family,(Hsp40),member,B12,,,,,
ILMN_2073010,0.0017303,3.37E-06,-4.96122118,4.08592,-2.12E-01,16596685,TMEM203,transmembrane,protein,203,,,,,,,,,,
ILMN_1666477,0.0018848,4.17E-06,4.90779022,4.08064,2.82E-01,NA,,,,,,,,,,,,,,
ILMN_1704529,0.0018848,4.24E-06,4.90359788,4.06074,2.03E-01,NA,,,,,,,,,,,,,,
ILMN_2108938,0.0017165,3.26E-06,-4.96958278,4.05348,-3.11E-01,971059204,FNBP4,formin,binding,protein,4,,,,,,,,,
ILMN_1676423,0.0019498,4.52E-06,4.88762158,4.00293,2.77E-01,61676090,CCNC,cyclin,C,,,,,,,,,,,
ILMN_2056551,0.0018848,4.25E-06,4.9033769,3.98784,2.06E-01,118600972,RBMX2,RNA,binding,motif,"protein,",X-linked,2,,,,,,,
ILMN_1661500,0.0019498,4.62E-06,4.88225314,3.97094,2.07E-01,47078256,B4GALT4,"beta-1,4-galactosyltransferase",4,,,,,,,,,,,
ILMN_1813236,0.0018848,4.22E-06,4.90527988,3.97059,2.34E-01,238624192,C6orf136,chromosome,6,open,reading,frame,136,,,,,,,
ILMN_1743621,0.0019498,4.75E-06,-4.8754494,3.96285,-2.81E-01,NA,,,,,,,,,,,,,,
ILMN_1855548,0.0018059,3.63E-06,-4.94285498,3.95077,-1.00E-01,5660442,,,,,,,,,,,,,,
ILMN_2105308,0.0018796,4.01E-06,4.9180853,3.94793,2.57E-01,950426343,DPM1,dolichyl-phosphate,mannosyltransferase,subunit,"1,",catalytic,,,,,,,,
ILMN_1755589,0.0019498,4.71E-06,-4.87748631,3.93169,-1.89E-01,55749757,DIP2B,disco,interacting,protein,2,homolog,B,,,,,,,
ILMN_2381655,0.0018144,3.75E-06,4.93418043,3.92747,1.30E-01,574956960,EDA,ectodysplasin,A,,,,,,,,,,,
ILMN_1803671,0.0018144,3.74E-06,-4.93486795,3.92229,-1.39E-01,522838257,SSX1,SSX,family,member,1,,,,,,,,,
ILMN_1898454,0.0019498,4.46E-06,-4.89123207,3.90504,-1.48E-01,10862503,,,,,,,,,,,,,,
ILMN_2411264,0.0020076,5.02E-06,4.8616386,3.89734,2.60E-01,59814145,BTBD1,BTB,domain,containing,1,,,,,,,,,
ILMN_1659583,0.0019498,4.63E-06,4.88199438,3.86513,1.52E-01,NA,,,,,,,,,,,,,,
ILMN_1805658,0.0019809,4.87E-06,4.86915052,3.85749,3.55E-01,34147695,LTV1,LTV1,ribosome,biogenesis,factor,,,,,,,,,
ILMN_1695792,0.0019498,4.71E-06,-4.87745877,3.84167,-1.67E-01,57165422,CUL4A,cullin,4A,,,,,,,,,,,
ILMN_1694491,0.0019498,4.75E-06,4.8752132,3.84157,3.35E-01,40805831,CCNG1,cyclin,G1,,,,,,,,,,,
ILMN_1792078,0.0019498,4.64E-06,4.88146528,3.80183,2.98E-01,40807455,RNF114,ring,finger,protein,114,,,,,,,,,
ILMN_1667564,0.0021673,5.73E-06,4.828362,3.76737,2.30E-01,73466519,ALDH3A2,aldehyde,dehydrogenase,3,family,member,A2,,,,,,,
ILMN_1903487,0.0020631,5.28E-06,-4.84869604,3.75783,-1.49E-01,21749579,LOC105370941,uncharacterized,LOC105370941,,,,,,,,,,,
ILMN_1742238,0.0020631,5.27E-06,4.84914489,3.72863,4.12E-01,170763497,SET,SET,nuclear,proto-oncogene,,,,,,,,,,
ILMN_1768617,0.0020323,5.12E-06,-4.85651989,3.72392,-1.33E-01,NA,,,,,,,,,,,,,,
ILMN_1866495,0.002003,4.97E-06,-4.86428031,3.70386,-1.31E-01,15929907,,,,,,,,,,,,,,
ILMN_1688089,0.0020829,5.38E-06,4.84428248,3.7031,3.51E-01,878295638,PEBP1,phosphatidylethanolamine,binding,protein,1,,,,,,,,,
ILMN_1683160,0.0021532,5.60E-06,4.83394432,3.69777,1.24E-01,544346133,MECR,mitochondrial,trans-2-enoyl-CoA,reductase,,,,,,,,,,
ILMN_1890516,0.0022875,6.14E-06,-4.81087911,3.68972,-1.69E-01,27828215,,,,,,,,,,,,,,
ILMN_1662263,0.0022888,6.21E-06,4.80802332,3.68077,1.54E-01,315259105,MDP1,magnesium,dependent,phosphatase,1,,,,,,,,,
ILMN_1657144,0.0022888,6.43E-06,-4.79912993,3.66036,-1.60E-01,874507483,IBA57,IBA57,"homolog,",iron-sulfur,cluster,assembly,,,,,,,,
ILMN_1898567,0.0022888,6.57E-06,-4.79376305,3.65758,-1.68E-01,10915711,,,,,,,,,,,,,,
ILMN_1726729,0.0022888,6.48E-06,4.79711334,3.65181,2.60E-01,1016470482,C2orf76,chromosome,2,open,reading,frame,76,,,,,,,
ILMN_1779828,0.0022888,6.50E-06,4.79651502,3.64702,3.03E-01,197304767,EDEM1,ER,degradation,enhancing,alpha-mannosidase,like,protein,1,,,,,,
ILMN_1676745,0.0022888,6.62E-06,4.79187974,3.64269,2.59E-01,NA,,,,,,,,,,,,,,
ILMN_1769931,0.0022888,6.71E-06,4.78864226,3.56987,2.53E-01,197209833,SFPQ,splicing,factor,proline,and,glutamine,rich,,,,,,,
ILMN_1731891,0.0022888,6.68E-06,4.78971275,3.54283,2.08E-01,532524939,UBXN8,UBX,domain,protein,8,,,,,,,,,
ILMN_1774799,0.0022888,6.25E-06,-4.8065388,3.53418,-1.68E-01,NA,,,,,,,,,,,,,,
ILMN_1877939,0.0022404,5.97E-06,4.81805978,3.51221,1.07E-01,27835565,,,,,,,,,,,,,,
ILMN_1765091,0.0023653,6.98E-06,-4.77850445,3.50924,-2.43E-01,308044520,ANKHD1,ankyrin,repeat,and,KH,domain,containing,1,,,,,,
ILMN_2355033,0.0022888,6.39E-06,-4.80067977,3.50535,-3.52E-01,122937184,KIAA1147,KIAA1147,,,,,,,,,,,,
ILMN_1651872,0.002524,7.86E-06,4.74832469,3.48948,2.55E-01,198041771,UBIAD1,UbiA,prenyltransferase,domain,containing,1,,,,,,,,
ILMN_2211950,0.0022888,6.38E-06,4.80104032,3.48905,2.96E-01,NA,,,,,,,,,,,,,,
ILMN_1687896,0.002524,7.85E-06,4.74854964,3.48375,2.35E-01,808688272,PIK3C3,phosphatidylinositol,3-kinase,catalytic,subunit,type,3,,,,,,,
ILMN_1665738,0.002524,7.77E-06,4.75139397,3.45785,2.79E-01,401871074,FLI1,Fli-1,"proto-oncogene,",ETS,transcription,factor,,,,,,,,
ILMN_2246894,0.0023686,7.13E-06,4.7729288,3.45295,2.23E-01,526253081,EDF1,endothelial,differentiation,related,factor,1,,,,,,,,
ILMN_1756360,0.0021568,5.66E-06,-4.83155217,3.45094,-2.25E-01,16117790,RPL35A,ribosomal,protein,L35a,,,,,,,,,,
ILMN_1769508,0.0026242,8.39E-06,4.73180926,3.43946,2.85E-01,261490705,PIGX,phosphatidylinositol,glycan,anchor,biosynthesis,class,X,,,,,,,
ILMN_2194828,0.0025458,7.98E-06,4.74447277,3.43124,3.22E-01,156523249,PAGR1,PAXIP1,associated,glutamate,rich,protein,1,,,,,,,
ILMN_1735014,0.0023686,7.09E-06,4.77436435,3.40638,4.63E-01,236460447,KLF6,Kruppel,like,factor,6,,,,,,,,,
ILMN_1884441,0.0023686,7.06E-06,-4.77565926,3.37063,-1.31E-01,6041242,,,,,,,,,,,,,,
ILMN_1661608,0.0022888,6.71E-06,-4.78859552,3.35993,-1.03E-01,NA,,,,,,,,,,,,,,
ILMN_2375879,0.0028015,9.40E-06,-4.70264912,3.33111,-4.07E-01,284172448,VEGFA,vascular,endothelial,growth,factor,A,,,,,,,,
ILMN_1805998,0.0027001,8.80E-06,4.71970162,3.33103,1.95E-01,319918860,C18orf21,chromosome,18,open,reading,frame,21,,,,,,,
ILMN_2367428,0.0026853,8.69E-06,4.72270451,3.31691,3.65E-01,574286784,FAM96A,family,with,sequence,similarity,96,member,A,,,,,,
ILMN_1795467,0.0027848,9.19E-06,-4.70863366,3.30912,-1.96E-01,NA,,,,,,,,,,,,,,
ILMN_1687840,0.0028015,9.41E-06,4.70239364,3.28915,2.21E-01,411147361,ABCB7,ATP,binding,cassette,subfamily,B,member,7,,,,,,
ILMN_1788024,0.0026802,8.62E-06,-4.72481498,3.23983,-2.22E-01,1002341827,PCID2,PCI,domain,containing,2,,,,,,,,,
ILMN_1687284,0.002524,7.79E-06,4.75053815,3.2341,1.57E-01,301500674,USP12,ubiquitin,specific,peptidase,12,,,,,,,,,
ILMN_2403006,0.002524,7.74E-06,-4.75226927,3.22005,-1.00E-01,666335567,TJP1,tight,junction,protein,1,,,,,,,,,
ILMN_2367710,0.0028015,9.31E-06,4.70512848,3.21925,1.93E-01,47132590,PKN1,protein,kinase,N1,,,,,,,,,,
ILMN_1719219,0.0030175,1.07E-05,-4.66972439,3.21636,-2.35E-01,1012443682,ZNF616,zinc,finger,protein,616,,,,,,,,,
ILMN_1672540,0.0025677,8.10E-06,-4.7406005,3.18491,-1.17E-01,NA,,,,,,,,,,,,,,
ILMN_1658773,0.0025677,8.16E-06,4.73898799,3.18141,1.18E-01,110224466,PIGF,phosphatidylinositol,glycan,anchor,biosynthesis,class,F,,,,,,,
ILMN_1692754,0.0028548,9.65E-06,-4.69602475,3.14963,-3.38E-01,1042998914,VMP1,vacuole,membrane,protein,1,,,,,,,,,
ILMN_1718853,0.0029459,1.03E-05,4.6803615,3.14228,3.38E-01,874507479,UQCRC2,ubiquinol-cytochrome,c,reductase,core,protein,II,,,,,,,
ILMN_2136635,0.0031792,1.16E-05,-4.64915955,3.11303,-1.83E-01,432134250,ISCA2,iron-sulfur,cluster,assembly,2,,,,,,,,,
ILMN_1903872,0.0027458,9.00E-06,-4.71382318,3.10343,-1.18E-01,18994752,,,,,,,,,,,,,,
ILMN_1773236,0.0032779,1.22E-05,4.63686492,3.09129,2.62E-01,NA,,,,,,,,,,,,,,
ILMN_1697088,0.0029355,1.02E-05,4.68277138,3.07519,1.63E-01,157426854,ARMC5,armadillo,repeat,containing,5,,,,,,,,,
ILMN_1744822,0.0032209,1.19E-05,4.64279477,3.06983,2.03E-01,929524265,BECN1,beclin,1,,,,,,,,,,,
ILMN_1770053,0.0032209,1.18E-05,4.64411401,3.0603,4.27E-01,212276187,RBBP7,RB,binding,protein,"7,",chromatin,remodeling,factor,,,,,,
ILMN_1782579,0.0031201,1.11E-05,4.65964304,3.05827,3.03E-01,154354963,IMMT,inner,membrane,mitochondrial,protein,,,,,,,,,
ILMN_1781290,0.0029355,1.01E-05,4.68393895,3.04819,2.16E-01,927669102,RHOA,ras,homolog,family,member,A,,,,,,,,
ILMN_1667577,0.0033201,1.24E-05,-4.63074322,3.04656,-2.64E-01,313747595,LCMT2,leucine,carboxyl,methyltransferase,2,,,,,,,,,
ILMN_1688316,0.0029355,1.01E-05,-4.68514847,3.0388,-1.02E-01,NA,,,,,,,,,,,,,,
ILMN_1907812,0.0029795,1.05E-05,-4.674459,3.03349,-1.27E-01,28290374,,,,,,,,,,,,,,
ILMN_1746658,0.0028638,9.74E-06,4.69368239,3.01422,1.44E-01,62865658,RORB,RAR,related,orphan,receptor,B,,,,,,,,
ILMN_1753567,0.0034249,1.31E-05,4.61716486,3.00117,2.10E-01,108796066,ZNF451,zinc,finger,protein,451,,,,,,,,,
ILMN_1661485,0.0033525,1.27E-05,4.62598006,2.99554,3.42E-01,238859596,RBM34,RNA,binding,motif,protein,34,,,,,,,,
ILMN_1787441,0.0034484,1.34E-05,-4.61265604,2.98977,-1.53E-01,NA,,,,,,,,,,,,,,
ILMN_1693401,0.0034001,1.30E-05,-4.62041943,2.98729,-3.20E-01,809279627,KLHL28,kelch,like,family,member,28,,,,,,,,
ILMN_1820856,0.0029587,1.04E-05,-4.67774884,2.98059,-1.29E-01,6439556,,,,,,,,,,,,,,
ILMN_1803945,0.0031201,1.12E-05,-4.65820347,2.97811,-3.84E-01,341932552,HCP5,HLA,complex,P5,(non-protein,coding),,,,,,,,
ILMN_1711289,0.0035479,1.41E-05,-4.59786308,2.9543,-2.15E-01,239049506,GYS1,glycogen,synthase,1,,,,,,,,,,
ILMN_1793673,0.0031284,1.13E-05,4.65605605,2.95183,1.58E-01,71143110,ZNF766,zinc,finger,protein,766,,,,,,,,,
ILMN_1736623,0.0034672,1.37E-05,-4.60631164,2.94917,-2.50E-01,523567542,NCKIPSD,NCK,interacting,protein,with,SH3,domain,,,,,,,
ILMN_1706817,0.0035521,1.43E-05,4.59561289,2.94268,2.31E-01,109809760,SERP1,stress-associated,endoplasmic,reticulum,protein,1,,,,,,,,
ILMN_1685781,0.0034672,1.36E-05,4.60790215,2.9333,2.22E-01,110227845,GON7,"GON7,",KEOPS,complex,subunit,homolog,,,,,,,,
ILMN_2057399,0.003559,1.46E-05,4.58988739,2.93076,2.39E-01,815890924,ZBTB8OS,zinc,finger,and,BTB,domain,containing,8,opposite,strand,,,,
ILMN_1804571,0.003559,1.46E-05,-4.58999449,2.92869,-1.84E-01,751368096,ZKSCAN4,zinc,finger,with,KRAB,and,SCAN,domains,4,,,,,
ILMN_1829253,0.0031792,1.16E-05,-4.64901782,2.91893,-1.19E-01,2050908,,,,,,,,,,,,,,
ILMN_1742827,0.0035599,1.48E-05,4.58610158,2.91657,2.38E-01,82546829,EXOC4,exocyst,complex,component,4,,,,,,,,,
ILMN_1699170,0.0034484,1.33E-05,-4.61301959,2.91563,-1.42E-01,65508249,C5orf45,chromosome,5,open,reading,frame,45,,,,,,,
